0,1
Спайность не наблю дается.,0
"На наш взгляд, смысл жизни - это и способность субъекта переживать ценность жизненных проявлений своей индивидуальности, своего «я», своей личности.",1
"КФ является “членимой”, но “не расчленяемой” единицей;",1
Люминесценция в УФ-лучах зеленая (типичная для уранил-иона).,0
"Транзитные (переходные) чешуйки с редуцированным ретикулум, 1.2-1.4 мкм длиной, 1.1-1.2. мкм шириной.",0
Обычно каждая пара штрихов включает одну пору.,0
"""Функция в потенциальном аспекте (Фп) - это присущая той или иной единице в языковой системе способность к выполнению определенного назначения и к соответствующему функционированию.",1
"Голова светло- коричневая с несколькими размытыми серо-коричневыми пятнами на дорсальной части и по бокам рострума, темно-коричневой широкой срединной полосой от вершины рострума до середины наличника, скошенной вертикальной темно- коричневой полоской под каждым глазом и коричневыми участками на мандибулах и скапусах; переднеспинка светло-коричневая с темными пятнами приблизительно как у Ph. boldyrevi; окраска остальных частей тела примерно как у Ph. malawi.",0
“сознание... уже с самого начала есть общественный продукт” (цитата);,1
"Основной механизм, объединяющий людей в массу независимо от характера совместной деятельности, - психологическое заражение.",1
Формулы щетинок и солен ид иев представлены в табл.,0
"Последний членик хоботка короткий стройный, на конце заостренный, равен 0.8-0.9 длины 2-го членика задней лапки, с 16-24 дополнительными волосками (рис. \в).",0
«Основная цель живой системы – существование – жизнь» (из цитаты).,1
Глазное поле поперечное (с трапециевидным срединным полем).,0
"Зрелые мерикарпии 3.5-4.2 мм дл., 0.6-1 мм шир., продолговатые, по спинке выпуклые, ребра вальковатые, четко выступающие, комиссура средняя.",0
Жить - значит участвовать в диалоге» (из цитаты);,1
"Листочки нижних листьев продолговато-овальные, островатые, ярко-зеленые; листочки средних листьев ланцетные, островатые, сизоватые от более или менее густого опушения; листочки верхних листьев ланцетно-линейные, длинно заостренные, на конце немного мозолистые.",0
"В биологической литературе модули понимаются как подсистемы, характеризующиеся высокой степенью интеграции во внутренних связях и значительной автономностью в связях внешних (Schlosser, Wagner, 2004).",1
"Все эти и многие другие типы диалогических отношений представляют собой весьма разнообразные проявления социальности человека, его деятельности, психики и т. д.",1
"Чашечка с косым зевом до 4.5 мм дл., прижато-черново- лосистая, зубцы узкотреугольные, в 1.5-2 раза короче трубки или иногда равны ей.",0
Минерал оптически двуосный отрицательный.,0
"Церки 12-13-члениковые, каждый членик, кроме 1-2 вершинных несет с внутренней стороны 1-3 боковых опорных шипа.",0
"Крыло (рис. 2, 5) с макротрихиями на всех жилках: c макротрихиями, X безмакротрихий.",0
"""Вьюрки - очень плохие летуны;",1
"За ними стоит общественная практика, откристаллизованная в значениях.",1
"Тело непрозрачное, собственной пигментации не имеет, светло-серого или бледно-желтого оттенка, в зависимости от съеденной пиши.",0
"Годовалые побеги утолщенные, короткие, темно-бурые, при сушке чернеющие, серовато-шерстисто-опушенные.",0
"Зонтички 1-1.7 см в диам., 8-10-цветковые.",0
"Этот образ и есть то, как я представляю себе данное высказывание как целое.",1
"В более широком аспекте смысл - это ценность и одновременно переживание этой ценности человеком в процессе ее выработки, присвоения или осуществления.",1
Просвет фаринкса сильно к тикулизирован.,0
"Продорсум (рис. 1, 2).",0
"Содержанием жизни являются деятельность, труд, потребность в которых также становится одной из ведущих.",1
"Черешки 0.6-2 см длиной, желобчатые, буроватые, сверху опушенные.",0
"Концы створок не оттянутые, тупо закругленные с выростами в виде усеченных конусов.",0
Черта белая.,0
"Согласно , вынужденное комптоновское рассеяние электронов на стоячей волне интерпретируется как дифракция де-бройлевской волны электрона на периодической структуре с периодом - длина волны поля излучения), образованной плоскостями разных фаз (пучностей) стоячей волны.",1
Длина тела 1.74 мм.,0
